Depart,Arrivée,Path,Order_Path,Order_Point,CODE_LIGNE,LIBELLE_LIGNE,NOM_VOIE,IDRESEAU,Longitude,Latitude
87386425,87381657,"00",6,9,338000,Ligne d'Achères à Pontoise,V1,313686,2,127206376,48,95646171
87386425,87381657,"00",6,10,338000,Ligne d'Achères à Pontoise,V1,313687,2,125412582,48,95737601
87386425,87381657,"00",6,11,338000,Ligne d'Achères à Pontoise,V1,313688,2,123606845,48,95824971
87386425,87381657,"00",6,12,338000,Ligne d'Achères à Pontoise,V1,313689,2,121218737,48,95897439
87386425,87381657,"00",6,13,338000,Ligne d'Achères à Pontoise,V1,313690,2,118567467,48,95952875
87386425,87381657,"00",6,14,338000,Ligne d'Achères à Pontoise,V1,313691,2,11778431,48,9596807
87386425,87381657,"00",6,15,338000,Ligne d'Achères à Pontoise,V1,313692,2,111640449,48,96040189
87386425,87381657,"00",6,16,338000,Ligne d'Achères à Pontoise,V1,313693,2,107704404,48,960291
87386425,87381657,"00",6,17,338000,Ligne d'Achères à Pontoise,V1,313694,2,103738249,48,95979668
87386425,87381657,"00",6,18,338000,Ligne d'Achères à Pontoise,V1,313695,2,103257781,48,95969878
87386425,87381657,"00",6,19,338000,Ligne d'Achères à Pontoise,V1,313696,2,099800023,48,95881667
87386425,87381657,"00",6,20,338000,Ligne d'Achères à Pontoise,V1,313697,2,097372012,48,95803336
87386425,87381657,"00",6,21,338000,Ligne d'Achères à Pontoise,V1,313698,2,094498162,48,95687216
87386425,87381657,"00",6,22,338000,Ligne d'Achères à Pontoise,V1,313699,2,094389003,48,95681586
87386425,87381657,"00",6,23,338000,Ligne d'Achères à Pontoise,V1,313700,2,091928566,48,95585549
87386425,87381657,"00",6,24,338000,Ligne d'Achères à Pontoise,V1,313701,2,084079412,48,95646042
87386425,87381657,"00",6,25,338000,Ligne d'Achères à Pontoise,V1,313702,2,081741345,48,9586004
87386425,87381657,"00",6,26,338000,Ligne d'Achères à Pontoise,V1,313703,2,080851479,48,96000219
87386425,87381657,"00",6,27,338000,Ligne d'Achères à Pontoise,V1,313704,2,079311993,48,96265564
87386425,87381657,"00",6,28,338000,Ligne d'Achères à Pontoise,V1,313705,2,077658571,48,96933115
87386417,87386425,"00",5,0,340000,Ligne de Paris-St-Lazare au Havre,V1,313842,2,155578685,48,9384609
87386417,87386425,"00",5,1,340000,Ligne de Paris-St-Lazare au Havre,V1,313843,2,152749857,48,9402081
87386417,87386425,"00",5,2,340000,Ligne de Paris-St-Lazare au Havre,V1,313844,2,150754639,48,94150801
87386417,87386425,"00",5,3,340000,Ligne de Paris-St-Lazare au Havre,V1,313845,2,149888319,48,94207365
87386417,87386425,"00",5,4,340000,Ligne de Paris-St-Lazare au Havre,V1,313846,2,148979299,48,94273616
87386417,87386425,"00",5,5,340000,Ligne de Paris-St-Lazare au Havre,V1,313847,2,146728565,48,94428969
87386417,87386425,"00",5,6,340000,Ligne de Paris-St-Lazare au Havre,V1,313848,2,146630415,48,94435231
87386409,87386417,"00",4,0,975900,Ligne de Nanterre-Université à Sartrouville,V1,354084,2,183575601,48,92108843
87386409,87386417,"00",4,1,975900,Ligne de Nanterre-Université à Sartrouville,V1,354085,2,181314815,48,92227953
87386409,87386417,"00",4,2,975900,Ligne de Nanterre-Université à Sartrouville,V1,354086,2,17914215,48,92339893
87386409,87386417,"00",4,3,975900,Ligne de Nanterre-Université à Sartrouville,V1,354087,2,176759161,48,92477746
87386409,87386417,"00",4,4,975900,Ligne de Nanterre-Université à Sartrouville,V1,354088,2,174990233,48,92592548
87386409,87386417,"00",4,5,975900,Ligne de Nanterre-Université à Sartrouville,V1,354089,2,173653877,48,92684374
87386409,87386417,"00",4,6,975900,Ligne de Nanterre-Université à Sartrouville,V1,354090,2,172294014,48,92775465
87386409,87386417,"00",4,7,975900,Ligne de Nanterre-Université à Sartrouville,V1,354091,2,170226879,48,92909481
87386409,87386417,"00",4,8,975900,Ligne de Nanterre-Université à Sartrouville,V1,354092,2,168660219,48,9301214
87386409,87386417,"00",4,9,975900,Ligne de Nanterre-Université à Sartrouville,V1,354093,2,16744044,48,93098909
87386409,87386417,"00",4,10,975900,Ligne de Nanterre-Université à Sartrouville,V1,354094,2,166958132,48,93131455
87386409,87386417,"00",4,11,340000,Ligne de Paris-St-Lazare au Havre,V1,313836,2,163999344,48,93318446
87386409,87386417,"00",4,12,340000,Ligne de Paris-St-Lazare au Havre,V1,313837,2,162621708,48,93407778
87386409,87386417,"00",4,13,340000,Ligne de Paris-St-Lazare au Havre,V1,313838,2,161533864,48,93476899
87386409,87386417,"00",4,14,340000,Ligne de Paris-St-Lazare au Havre,V1,313839,2,160455477,48,93545356
87386409,87386417,"00",4,15,340000,Ligne de Paris-St-Lazare au Havre,V1,313840,2,159747753,48,93590884
87386409,87386417,"00",4,16,340000,Ligne de Paris-St-Lazare au Havre,V1,313841,2,157400136,48,93737066
87386318,87386409,"00",3,0,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354026,2,215125162,48,90159818
87386318,87386409,"00",3,1,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354027,2,206143664,48,90160388
87386318,87386409,"00",3,2,975900,Ligne de Nanterre-Université à Sartrouville,V1,354073,2,205584327,48,90179331
87386318,87386409,"00",3,3,975900,Ligne de Nanterre-Université à Sartrouville,V1,354074,2,202007843,48,90295215
87386318,87386409,"00",3,4,975900,Ligne de Nanterre-Université à Sartrouville,V1,354075,2,197457417,48,90527353
87386318,87386409,"00",3,5,975900,Ligne de Nanterre-Université à Sartrouville,V1,354076,2,196008209,48,90777827
87386318,87386409,"00",3,6,975900,Ligne de Nanterre-Université à Sartrouville,V1,354077,2,195577117,48,91001834
87386318,87386409,"00",3,7,975900,Ligne de Nanterre-Université à Sartrouville,V1,354078,2,193052634,48,91655289
87386318,87386409,"00",3,8,975900,Ligne de Nanterre-Université à Sartrouville,V1,354079,2,192385588,48,91687553
87386318,87386409,"00",3,9,975900,Ligne de Nanterre-Université à Sartrouville,V1,354080,2,190134811,48,91792629
87386318,87386409,"00",3,10,975900,Ligne de Nanterre-Université à Sartrouville,V1,354081,2,189234742,48,91834679
87386318,87386409,"00",3,11,975900,Ligne de Nanterre-Université à Sartrouville,V1,354082,2,188677238,48,91861426
87386318,87386409,"00",3,12,975900,Ligne de Nanterre-Université à Sartrouville,V1,354083,2,186969267,48,91938299
87386003,87386318,"00",2,0,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354019,2,239037166,48,90933019
87386003,87386318,"00",2,1,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354020,2,238348169,48,90910135
87386003,87386318,"00",2,2,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354021,2,235433183,48,90806095
87386003,87386318,"00",2,3,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354022,2,23057251,48,90648796
87386003,87386318,"00",2,4,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354023,2,227421573,48,9055564
87386003,87386318,"00",2,5,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354024,2,219205547,48,90287513
87386003,87386318,"00",2,6,975000,Ligne de Paris-St-Lazare à St-Germain-en-Laye,V1,354025,2,21690073,48,90215062
87386300,87386003,"00",1,0,340000,Ligne de Paris-St-Lazare au Havre,V1,313813,2,255196753,48,91379375
87386300,87386003,"00",1,1,340000,Ligne de Paris-St-Lazare au Havre,V1,313814,2,250965086,48,91307993
87386300,87386003,"00",1,2,340000,Ligne de Paris-St-Lazare au Havre,V1,313815,2,249672609,48,91275298
87386300,87386003,"00",1,3,340000,Ligne de Paris-St-Lazare au Havre,V1,313816,2,246555877,48,91181616
