CODE_LIGNE;LIBELLE_LIGNE;NOM_VOIE;IDRESEAU;X Debut (WGS84);Y Debut (WGS84);X Fin (WGS84);Y Fin (WGS84)
338000;Ligne d'Achères à Pontoise;V1;313705;2,077658571;48,96933115;2,077986891;48,97802289
338000;Ligne d'Achères à Pontoise;V1;313706;2,077986891;48,97802289;2,07737496;48,98290618
338000;Ligne d'Achères à Pontoise;V1;313707;2,07737496;48,98290618;2,076555023;48,98478692
338000;Ligne d'Achères à Pontoise;V1;313708;2,076555023;48,98478692;2,074323719;48,98932296
338000;Ligne d'Achères à Pontoise;V1;313709;2,074323719;48,98932296;2,073596389;48,99174072
338000;Ligne d'Achères à Pontoise;V1;313710;2,073596389;48,99174072;2,07330726;48,99385174
338000;Ligne d'Achères à Pontoise;V1;313711;2,07330726;48,99385174;2,073354188;48,99593383
338000;Ligne d'Achères à Pontoise;V1;313712;2,073354188;48,99593383;2,073423334;48,99801637
338000;Ligne d'Achères à Pontoise;V1;313713;2,073423334;48,99801637;2,073189566;48,99996949
338000;Ligne d'Achères à Pontoise;V1;313714;2,073189566;48,99996949;2,073261829;49,001771
338000;Ligne d'Achères à Pontoise;V1;313715;2,073261829;49,001771;2,073867033;49,00487087
340000;Ligne de Paris-St-Lazare au Havre;V1;313833;2,180685122;48,92267602;2,175520601;48,92567465
340000;Ligne de Paris-St-Lazare au Havre;V1;313834;2,175520601;48,92567465;2,171736094;48,92802472
340000;Ligne de Paris-St-Lazare au Havre;V1;313835;2,171736094;48,92802472;2,163999344;48,93318446
340000;Ligne de Paris-St-Lazare au Havre;V1;313836;2,163999344;48,93318446;2,162621708;48,93407778
340000;Ligne de Paris-St-Lazare au Havre;V1;313837;2,162621708;48,93407778;2,161533864;48,93476899
340000;Ligne de Paris-St-Lazare au Havre;V1;313838;2,161533864;48,93476899;2,160455477;48,93545356
340000;Ligne de Paris-St-Lazare au Havre;V1;313839;2,160455477;48,93545356;2,159747753;48,93590884
340000;Ligne de Paris-St-Lazare au Havre;V1;313840;2,159747753;48,93590884;2,157400136;48,93737066
340000;Ligne de Paris-St-Lazare au Havre;V1;313841;2,157400136;48,93737066;2,155578685;48,9384609
340000;Ligne de Paris-St-Lazare au Havre;V1;313842;2,155578685;48,9384609;2,152749857;48,9402081
340000;Ligne de Paris-St-Lazare au Havre;V1;313843;2,152749857;48,9402081;2,150754639;48,94150801
340000;Ligne de Paris-St-Lazare au Havre;V1;313844;2,150754639;48,94150801;2,149888319;48,94207365
340000;Ligne de Paris-St-Lazare au Havre;V1;313845;2,149888319;48,94207365;2,148979299;48,94273616
340000;Ligne de Paris-St-Lazare au Havre;V1;313846;2,148979299;48,94273616;2,146728565;48,94428969
340000;Ligne de Paris-St-Lazare au Havre;V1;313847;2,146728565;48,94428969;2,146630415;48,94435231
340000;Ligne de Paris-St-Lazare au Havre;V1;313848;2,146630415;48,94435231;2,143509496;48,94637753
340000;Ligne de Paris-St-Lazare au Havre;V1;313849;2,143509496;48,94637753;2,142255517;48,94723516
340000;Ligne de Paris-St-Lazare au Havre;V1;313850;2,142255517;48,94723516;2,14216045;48,94730009
340000;Ligne de Paris-St-Lazare au Havre;V1;313851;2,14216045;48,94730009;2,140058956;48,94868901
340000;Ligne de Paris-St-Lazare au Havre;V1;313852;2,140058956;48,94868901;2,137237825;48,95051464
340000;Ligne de Paris-St-Lazare au Havre;V1;313853;2,137237825;48,95051464;2,135879336;48,95137948
340000;Ligne de Paris-St-Lazare au Havre;V1;313854;2,135879336;48,95137948;2,134717587;48,95212034
340000;Ligne de Paris-St-Lazare au Havre;V1;313855;2,134717587;48,95212034;2,130686308;48,95467797
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353758;2,323897457;48,87651189;2,323236338;48,87760224
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353759;2,323236338;48,87760224;2,318885941;48,88376497
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353760;2,318885941;48,88376497;2,316350152;48,88619459
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353761;2,316350152;48,88619459;2,314350579;48,88743971
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353762;2,314350579;48,88743971;2,314112856;48,88754174
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353763;2,314112856;48,88754174;2,311417949;48,88890051
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353764;2,311417949;48,88890051;2,309490265;48,89000675
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353765;2,309490265;48,89000675;2,307508383;48,89134001
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353766;2,307508383;48,89134001;2,305565102;48,89263913
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353767;2,305565102;48,89263913;2,304245007;48,89348709
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353768;2,304245007;48,89348709;2,302466318;48,89457588
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353769;2,302466318;48,89457588;2,301295901;48,89525926
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353770;2,301295901;48,89525926;2,299979732;48,89603684
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353771;2,299979732;48,89603684;2,298299058;48,89691473
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353772;2,298299058;48,89691473;2,296553028;48,89784597
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353773;2,296553028;48,89784597;2,295247092;48,8987023
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353774;2,295247092;48,8987023;2,29495038;48,89887699
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353775;2,29495038;48,89887699;2,293483776;48,89976263
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353776;2,293483776;48,89976263;2,292209264;48,90054076
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353777;2,292209264;48,90054076;2,290126581;48,90175948
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353778;2,290126581;48,90175948;2,289229506;48,90227842
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353779;2,289229506;48,90227842;2,288205079;48,90284784
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353780;2,288205079;48,90284784;2,285010917;48,90471136
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353781;2,285010917;48,90471136;2,28294787;48,90567577
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353782;2,28294787;48,90567577;2,282235543;48,90593698
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353783;2,282235543;48,90593698;2,279736075;48,90657735
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353784;2,279736075;48,90657735;2,278785934;48,90669516
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353785;2,278785934;48,90669516;2,277479538;48,90677649
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353786;2,277479538;48,90677649;2,273581241;48,90651017
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353787;2,273581241;48,90651017;2,272792847;48,90636736
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353788;2,272792847;48,90636736;2,270371252;48,90573646
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353789;2,270371252;48,90573646;2,26953105;48,90548194
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353790;2,26953105;48,90548194;2,266262805;48,90442462
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353791;2,266262805;48,90442462;2,252650987;48,89991762
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353792;2,252650987;48,89991762;2,248879993;48,89848483
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353793;2,248879993;48,89848483;2,2433431;48,89614782
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353794;2,2433431;48,89614782;2,239378404;48,89418702
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353795;2,239378404;48,89418702;2,237629517;48,89267028
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353796;2,237629517;48,89267028;2,236281176;48,89056993
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353797;2,236281176;48,89056993;2,235513109;48,88808039
